Rank,Company,Sector,Industry,Location,Revenue,Profits,Employees
472,Host Hotels & Resorts,Financials,Real estate,"Bethesda, MD",5387,558,240
472,Host Hotels & Resorts,Financials,Real estate,"Bethesda, MD",5387,558,240
488,Simon Property Group,Financials,Real estate,"Indianapolis, IN",5266,1828,4075
609,Welltower,Financials,Real estate,"Toledo, OH",3860,884,462
651,Ventas,Financials,Real estate,"Chicago, IL",3486,418,466
781,Equity Residential,Financials,Real estate,"Chicago, IL",2746,870,3500
828,HCP,Financials,Real estate,"Irvine, CA",2544,-559,187
833,Vornado Realty Trust,Financials,Real estate,"New York, NY",2530,760,4089
846,Boston Properties,Financials,Real estate,"Boston, MA",2491,583,765
861,General Growth Properties,Financials,Real estate,"Chicago, IL",2404,1375,1700
920,Prologis,Financials,Real estate,"San Francisco, CA",2197,869,1555
988,Hospitality Properties Trust,Financials,Real estate,"Newton, MA",1922,166,400
23,J.P. Morgan Chase,Financials,Commercial Banks,"New York, NY",101006,24442,234598
26,Bank of America Corp.,Financials,Commercial Banks,"Charlotte, NC",93056,15888,213280
27,Wells Fargo,Financials,Commercial Banks,"San Francisco, CA",90033,22894,264700
29,Citigroup,Financials,Commercial Banks,"New York, NY",88275,17242,231000
74,Goldman Sachs Group,Financials,Commercial Banks,"New York, NY",39208,6083,36800
78,Morgan Stanley,Financials,Commercial Banks,"New York, NY",37897,6127,56218
112,Capital One Financial,Financials,Commercial Banks,"McLean, VA",25098,4050,45400
131,U.S. Bancorp,Financials,Commercial Banks,"Minneapolis, MN",21494,5879,65433
171,PNC Financial Services Group,Financials,Commercial Banks,"Pittsburgh, PA",16270,4106,50831
179,Bank of New York Mellon Corp.,Financials,Commercial Banks,"New York, NY",15523,3158,51200
264,State Street Corp.,Financials,Commercial Banks,"Boston, MA",10760,1980,32356
273,BB&T Corp.,Financials,Commercial Banks,"Winston-Salem, NC",10346,2084,37200
283,Discover Financial Services,Financials,Commercial Banks,"Riverwoods, IL",10002,2297,15036
329,SunTrust Banks,Financials,Commercial Banks,"Atlanta, GA",8533,1933,24043
376,Fifth Third Bancorp,Financials,Commercial Banks,"Cincinnati, OH",7031,1712,18261
453,Regions Financial,Financials,Commercial Banks,"Birmingham, AL",5674,1062,23916
453,Regions Financial,Financials,Commercial Banks,"Birmingham, AL",5674,1062,23916
486,Citizens Financial Group,Financials,Commercial Banks,"Providence, RI",5276,840,17700
510,M&T Bank Corp.,Financials,Commercial Banks,"Buffalo, NY",4996,1080,16904
520,Northern Trust,Financials,Commercial Banks,"Chicago, IL",4857,974,16200
540,KeyCorp,Financials,Commercial Banks,"Cleveland, OH",4542,916,13483
603,CIT Group,Financials,Commercial Banks,"New York, NY",3906,1057,4900
698,Huntington Bancshares,Financials,Commercial Banks,"Columbus, OH",3153,693,12243
765,Comerica,Financials,Commercial Banks,"Dallas, TX",2834,521,8818
916,Zions Bancorp.,Financials,Commercial Banks,"Salt Lake City, UT",2211,310,10200
938,Popular,Financials,Commercial Banks,"Hato Rey, PR",2123,895,7810
976,First Republic Bank,Financials,Commercial Banks,"San Francisco, CA",1989,522,3130
996,New York Community Bancorp,Financials,Commercial Banks,"Westbury, NY",1902,-47,3448
16,Fannie Mae,Financials,Diversified Financials,"Washington, DC",110359,10954,7300
43,Freddie Mac,Financials,Diversified Financials,"McLean, VA",63491,6376,5439
83,INTL FCStone,Financials,Diversified Financials,"New York, NY",34693,56,1231
85,American Express,Financials,Diversified Financials,"New York, NY",34441,5163,54800
184,Icahn Enterprises,Financials,Diversified Financials,"New York, NY",15272,-1194,73807
222,Marsh & McLennan,Financials,Diversified Financials,"New York, NY",12893,1599,60000
232,Ameriprise Financial,Financials,Diversified Financials,"Minneapolis, MN",12200,1562,13000
252,Voya Financial,Financials,Diversified Financials,"New York, NY",11341,408,7000
298,Ally Financial,Financials,Diversified Financials,"Detroit, MI",9539,1289,7100
471,Arthur J. Gallagher,Financials,Diversified Financials,"Itasca, IL",5392,357,21537
494,Navient,Financials,Diversified Financials,"Wilmington, DE",5197,997,7300
536,Blackstone Group,Financials,Diversified Financials,"New York, NY",4647,710,2060
712,H&R Block,Financials,Diversified Financials,"Kansas City, MO",3079,474,50400
880,Nationstar Mortgage Holdings,Financials,Diversified Financials,"Coppell, TX",2339,39,6740
923,OneMain Holdings,Financials,Diversified Financials,"Evansville, IN",2192,-242,11400
40,MetLife,Financials,"Insurance: Life, Health (stock)","New York, NY",69951,5310,69000
50,Prudential Financial,Financials,"Insurance: Life, Health (stock)","Newark, NJ",57119,5642,49384
135,Aflac,Financials,"Insurance: Life, Health (stock)","Columbus, GA",20872,2533,9915
205,Lincoln National,Financials,"Insurance: Life, Health (stock)","Radnor, PA",13572,1154,9312
236,Principal Financial,Financials,"Insurance: Life, Health (stock)","Des Moines, IA",11964,1234,14895
265,Unum Group,Financials,"Insurance: Life, Health (stock)","Chattanooga, TN",10731,867,9400
271,Reinsurance Group of America,Financials,"Insurance: Life, Health (stock)","Chesterfield, MO",10418,502,2201
306,Genworth Financial,Financials,"Insurance: Life, Health (stock)","Richmond, VA",9249,-615,4100
326,Pacific Life,Financials,"Insurance: Life, Health (stock)","Newport Beach, CA",8642,661,3276
367,Mutual of Omaha Insurance,Financials,"Insurance: Life, Health (stock)","Omaha, NE",7236,333,5488
551,Securian Financial Group,Financials,"Insurance: Life, Health (stock)","St. Paul, MN",4434,281,5000
590,Torchmark,Financials,"Insurance: Life, Health (stock)","McKinney, TX",4027,527,3115
611,CNO Financial Group,Financials,"Insurance: Life, Health (stock)","Carmel, IN",3812,271,3500
701,CUNA Mutual Group,Financials,"Insurance: Life, Health (stock)","Madison, WI",3135,217,3722
723,American National Insurance,Financials,"Insurance: Life, Health (stock)","Galveston, TX",3018,243,4736
750,StanCorp Financial Group,Financials,"Insurance: Life, Health (stock)","Portland, OR",2902,215,2767
897,Penn Mutual Life Insurance,Financials,"Insurance: Life, Health (stock)","Horsham, PA",2290,209,1022
926,Symetra Financial,Financials,"Insurance: Life, Health (stock)","Bellevue, WA",2179,147,1400
61,New York Life Insurance,Financials,"Insurance: Life, Health (Mutual)","New York, NY",45891,257,11463
76,Massachusetts Mutual Life Insurance,Financials,"Insurance: Life, Health (Mutual)","Springfield, MA",38243,1425,11593
82,TIAA,Financials,"Insurance: Life, Health (Mutual)","New York, NY",35181,1214,12735
100,Northwestern Mutual,Financials,"Insurance: Life, Health (Mutual)","Milwaukee, WI",28111,815,5530
226,Guardian Life Ins. Co. of America,Financials,"Insurance: Life, Health (Mutual)","New York, NY",12628,411,8000
318,Thrivent Financial for Lutherans,Financials,"Insurance: Life, Health (Mutual)","Minneapolis, MN",8789,769,3104
479,Western & Southern Financial Group,Financials,"Insurance: Life, Health (Mutual)","Cincinnati, OH",5356,457,2168
844,Mutual of America Life Insurance,Financials,"Insurance: Life, Health (Mutual)","New York, NY",2495,65,1093
852,Medical Mutual of Ohio,Financials,"Insurance: Life, Health (Mutual)","Cleveland, OH",2462,120,2186
925,Knights of Columbus,Financials,"Insurance: Life, Health (Mutual)","New Haven, CT",2180,68,929
4,Berkshire Hathaway,Financials,Insurance: Property and Casualty (Stock),"Omaha, NE",210821,24083,331000
49,AIG,Financials,Insurance: Property and Casualty (Stock),"New York, NY",58327,2196,66400
73,Liberty Mutual Insurance Group,Financials,Insurance: Property and Casualty (Stock),"Boston, MA",39450,514,50000
81,Allstate,Financials,Insurance: Property and Casualty (Stock),"Northbrook, IL",35653,2171,41350
105,Travelers Cos.,Financials,Insurance: Property and Casualty (Stock),"New York, NY",26800,3439,30900
114,USAA,Financials,Insurance: Property and Casualty (Stock),"San Antonio, TX",24361,2272,28681
137,Progressive,Financials,Insurance: Property and Casualty (Stock),"Mayfield Village, OH",20854,1268,28580
152,Hartford Financial Services Group,Financials,Insurance: Property and Casualty (Stock),"Hartford, CT",18377,1682,17400
210,Loews,Financials,Insurance: Property and Casualty (Stock),"New York, NY",13415,260,16700
275,Assurant,Financials,Insurance: Property and Casualty (Stock),"New York, NY",10326,142,14861
311,Fidelity National Financial,Financials,Insurance: Property and Casualty (Stock),"Jacksonville, FL",9132,527,54091
332,American Family Insurance Group,Financials,Insurance: Property and Casualty (Stock),"Madison, WI",8286,694,9843
368,W.R. Berkley,Financials,Insurance: Property and Casualty (Stock),"Greenwich, CT",7207,504,7621
411,Erie Insurance Group,Financials,Insurance: Property and Casualty (Stock),"Erie, PA",6351,175,4800
421,American Financial Group,Financials,Insurance: Property and Casualty (Stock),"Cincinnati, OH",6145,352,7400
442,Old Republic International,Financials,Insurance: Property and Casualty (Stock),"Chicago, IL",5766,422,8200
476,Markel,Financials,Insurance: Property and Casualty (Stock),"Glen Allen, VA",5370,583,10600
497,First American Financial,Financials,Insurance: Property and Casualty (Stock),"Santa Ana, CA",5176,288,17955
499,Cincinnati Financial,Financials,Insurance: Property and Casualty (Stock),"Fairfield, OH",5142,634,4493
506,Hanover Insurance Group,Financials,Insurance: Property and Casualty (Stock),"Worcester, MA",5034,332,4800
509,Alleghany,Financials,Insurance: Property and Casualty (Stock),"New York, NY",5000,560,3135
531,AmTrust Financial Services,Financials,Insurance: Property and Casualty (Stock),"New York, NY",4664,504,6200
561,FM Global,Financials,Insurance: Property and Casualty (Stock),"Johnston, RI",4343,738,5483
728,Mercury General,Financials,Insurance: Property and Casualty (Stock),"Los Angeles, CA",3009,75,4300
838,National General Holdings,Financials,Insurance: Property and Casualty (Stock),"New York, NY",2511,142,4630
878,Kemper,Financials,Insurance: Property and Casualty (Stock),"Chicago, IL",2341,86,5600
936,Selective Insurance Group,Financials,Insurance: Property and Casualty (Stock),"Branchville, NJ",2132,166,2200
959,Stewart Information Services,Financials,Insurance: Property and Casualty (Stock),"Houston, TX",2034,-6,6900
35,State Farm Insurance Cos.,Financials,Insurance: Property and Casualty (Mutual),"Bloomington, IL",75697,6229,70425
69,Nationwide,Financials,Insurance: Property and Casualty (Mutual),"Columbus, OH",40222,581,34032
227,Farmers Insurance Exchange,Financials,Insurance: Property and Casualty (Mutual),"Woodland Hills, CA",12626,-114,13184
398,Auto-Owners Insurance,Financials,Insurance: Property and Casualty (Mutual),"Lansing, MI",6517,815,4483
646,Country Financial,Financials,Insurance: Property and Casualty (Mutual),"Bloomington, IL",3506,173,3343
755,Sentry Insurance Group,Financials,Insurance: Property and Casualty (Mutual),"Stevens Point, WI",2883,284,4169
910,Amica Mutual Insurance,Financials,Insurance: Property and Casualty (Mutual),"Lincoln, RI",2231,63,3512
25,Microsoft,Technology,Computer Software,"Redmond, WA",93580,12193,118000
77,Oracle,Technology,Computer Software,"Redwood City, CA",38226,9938,132000
386,salesforce.com,Technology,Computer Software,"San Francisco, CA",6667,-47,19742
400,Symantec,Technology,Computer Software,"Mountain View, CA",6508,878,19000
524,Adobe Systems,Technology,Computer Software,"San Jose, CA",4796,630,13893
532,Activision Blizzard,Technology,Computer Software,"Santa Monica, CA",4664,892,7300
543,Electronic Arts,Technology,Computer Software,"Redwood City, CA",4515,875,8400
552,Intuit,Technology,Computer Software,"Mountain View, CA",4428,365,8193
563,CA,Technology,Computer Software,"New York, NY",4324,846,11600
834,Teradata,Technology,Computer Software,"Dayton, OH",2530,-214,11300
842,Autodesk,Technology,Computer Software,"San Rafael, CA",2504,-331,9500
909,Synopsys,Technology,Computer Software,"Mountain View, CA",2242,226,10284
919,Akamai Technologies,Technology,Computer Software,"Cambridge, MA",2197,321,6084
984,Nuance Communications,Technology,Computer Software,"Burlington, MA",1931,-115,13500
113,EMC,Technology,Computer Peripherals,"Hopkinton, MA",24704,1990,72000
194,Western Digital,Technology,Computer Peripherals,"Irvine, CA",14572,1465,76449
422,NetApp,Technology,Computer Peripherals,"Sunnyvale, CA",6123,560,12810
638,Lexmark International,Technology,Computer Peripherals,"Lexington, KY",3551,-40,14000
3,Apple,Technology,"Computers, Office Equipment","Cupertino, CA",233715,53394,110000
20,HP,Technology,"Computers, Office Equipment","Palo Alto, CA",103355,4554,287000
409,NCR,Technology,"Computers, Office Equipment","Duluth, GA",6373,-178,32600
634,Pitney Bowes,Technology,"Computers, Office Equipment","Stamford, CT",3578,408,14800
778,Diebold,Technology,"Computers, Office Equipment","North Canton, OH",2768,74,16000
971,VeriFone Systems,Technology,"Computers, Office Equipment","San Jose, CA",2001,79,5400
975,Super Micro Computer,Technology,"Computers, Office Equipment","San Jose, CA",1991,102,2285
31,IBM,Technology,Information Technology Services,"Armonk, NY",82461,13190,411798
150,Xerox,Technology,Information Technology Services,"Norwalk, CT",18664,474,143600
220,CDW,Technology,Information Technology Services,"Lincolnshire, IL",12989,403,8465
230,Cognizant Technology Solutions,Technology,Information Technology Services,"Teaneck, NJ",12416,1624,221700
233,Computer Sciences,Technology,Information Technology Services,"Falls Church, VA",12183,-8,70000
487,Booz Allen Hamilton Holding,Technology,Information Technology Services,"McLean, VA",5275,233,22500
504,Leidos Holdings,Technology,Information Technology Services,"Reston, VA",5086,254,18000
565,Science Applications International,Technology,Information Technology Services,"McLean, VA",4315,117,15342
673,CACI International,Technology,Information Technology Services,"Arlington, VA",3314,126,16600
725,Unisys,Technology,Information Technology Services,"Blue Bell, PA",3015,-110,23000
927,Gartner,Technology,Information Technology Services,"Stamford, CT",2163,176,7834
943,Maximus,Technology,Information Technology Services,"Reston, VA",2100,158,17000
946,Engility Holdings,Technology,Information Technology Services,"Chantilly, VA",2086,-235,9800
18,Amazon.com,Technology,Internet Services and Retailing,"Seattle, WA",107006,596,230800
36,Alphabet,Technology,Internet Services and Retailing,"Mountain View, CA",74989,16348,61814
157,Facebook,Technology,Internet Services and Retailing,"Menlo Park, CA",17928,3688,12691
284,Liberty Interactive,Technology,Internet Services and Retailing,"Englewood, CO",9989,869,22080
300,eBay,Technology,Internet Services and Retailing,"San Jose, CA",9496,1725,11600
308,Priceline Group,Technology,Internet Services and Retailing,"Norwalk, CT",9224,2551,15500
385,Expedia,Technology,Internet Services and Retailing,"Bellevue, WA",6672,765,18730
513,Yahoo,Technology,Internet Services and Retailing,"Sunnyvale, CA",4968,-4359,10400
